ProbeID	brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
38146_at	92	103	105	103	47	44	111	49
38147_at	27	5	21	9	12	11	10	7
38148_at	217	131	323	335	214	251	72	55
38149_at	235	249	138	90	314	399	366	864
38150_at	11	8	68	29	42	22	44	17
38151_at	21	76	44	23	66	18	11	21
38152_at	51	52	14	16	27	15	14	13
38153_at	82	16	20	89	31	26	54	18
38154_at	276	178	524	292	233	240	111	290
38155_at	184	147	185	215	120	117	112	27
38156_at	139	124	398	221	459	292	265	284
38157_at	380	494	124	65	251	95	111	78
38158_at	293	200	308	104	923	909	375	481
38159_at	53	36	215	225	63	40	35	48
38160_at	21	46	19	41	6	30	25	10
38161_at	849	1041	665	710	1414	1413	4189	2953
38162_at	227	64	29	246	116	23	26	35
38163_at	446	436	337	399	64	33	78	89
38164_at	153	97	189	221	131	82	21	94
38165_s_at	58	101	255	193	270	208	47	224
38166_r_at	374	473	107	209	365	316	772	446
38167_at	471	659	495	366	76	34	55	43
38168_at	44	52	10	44	59	14	12	17
38169_s_at	134	76	218	27	287	293	356	50
38170_at	177	128	194	195	42	107	18	40
38171_at	66	364	434	396	310	282	334	90
38172_at	83	67	31	33	61	40	71	66
38173_at	281	379	587	582	373	291	364	290
38174_at	5437	7227	3158	3031	637	504	380	775
38175_at	229	384	106	231	27	14	28	11
38176_at	591	677	442	454	201	262	76	96
38177_at	517	611	605	777	933	809	1133	1156
38178_at	19	17	22	29	1243	1562	1404	1290
38179_at	51	190	257	208	193	232	57	110
38180_f_at	32	8	64	24	22	16	17	22
38181_at	208	201	426	406	523	406	373	546
38182_at	58	106	124	58	158	222	41	93
38183_at	25	99	151	158	154	152	182	161
38184_at	89	113	193	184	417	231	215	226
38185_at	52	25	163	31	104	123	69	104
38186_g_at	30	14	18	23	34	24	28	37
38187_at	10	3	10	11	102	58	112	63
38188_s_at	891	1093	685	680	1345	912	185	417
38189_s_at	55	53	36	58	76	44	77	61
38190_r_at	1065	892	603	753	1009	736	1319	1430
38191_at	381	415	650	618	530	513	346	582
38192_at	106	121	183	277	48	35	26	42
38193_at	160	121	255	141	142	126	214	480
38194_s_at	53	30	108	86	241	230	5432	4630
38195_at	32	15	84	64	7	2	17	7
38196_at	252	276	54	122	42	74	53	62
38197_at	105	69	130	71	791	674	423	268
38198_at	8	18	12	14	78	12	14	22
38199_at	59	20	59	75	36	26	15	21
382_at	709	584	511	625	845	929	1642	1105
